Issue ID,Issue Type,Summary,Description,Parent,Story Points,Labels,Status
1,Epic,Spesen erfassen,"Mitarbeitende erfassen Ausgaben, speichern Entwürfe und reichen sie ein.",,,,To Do
2,Epic,Übersicht & Suche,"Mitarbeitende finden ihre Ausgaben schnell: Liste, Sortierung, Filter, Suche.",,,,To Do
3,Epic,Genehmigungsworkflow,"Kostenstellenverantwortliche prüfen, genehmigen oder lehnen Einreichungen ab.",,,,To Do
4,Epic,Auswertung & Dashboard,"Überblick über Ausgaben nach Kategorie, Zeitraum und Kostenstelle.",,,,To Do
5,Epic,Kostenstellen,Darstellung und Auswertung der Kostenstellenhierarchie.,,,,To Do
6,Epic,Belege,"Belege hochladen, anzeigen und prüfen.",,,,To Do
7,Epic,Plattform & Qualität,"Technische Grundlagen: Auth, Persistenz, Fehlerbehandlung, Barrierefreiheit.",,,,To Do
8,Task,"Projekt-Setup Angular (Standalone, SCSS, Vitest)",Abgeschlossen in Sprint 1.,7,3,sprint-1,Done
9,Task,Projekt-Setup NestJS mit globalem Präfix /api,Abgeschlossen in Sprint 1.,7,2,sprint-1,Done
10,Task,"Seed-Daten-Generator für Nutzer, Kostenstellen, Kategorien, Ausgaben",Abgeschlossen in Sprint 1.,7,3,sprint-1,Done
11,Story,Demo-Authentifizierung per Header X-Demo-User (ADR-0004),Abgeschlossen in Sprint 1.,7,3,sprint-1,Done
12,Task,Design-Tokens und Grundlayout,Abgeschlossen in Sprint 1.,7,2,sprint-1,Done
13,Task,Root-Skripte: npm run dev / test / build,Abgeschlossen in Sprint 1.,7,1,sprint-1,Done
14,Story,API: Kategorien abrufen,Abgeschlossen in Sprint 2.,1,1,sprint-2,Done
15,Story,API: Kostenstellen als flache Liste abrufen (ADR-0005),Abgeschlossen in Sprint 2.,5,2,sprint-2,Done
16,Story,Spesenliste: Grundgerüst mit Tabelle,Abgeschlossen in Sprint 2.,2,3,sprint-2,Done
17,Story,Status-Chip-Komponente,Abgeschlossen in Sprint 2.,2,2,sprint-2,Done
18,Story,App-Shell mit Navigation und Nutzeranzeige,Abgeschlossen in Sprint 2.,7,3,sprint-2,Done
19,Task,Swagger/OpenAPI-Doku unter /api/docs (ADR-0002),Abgeschlossen in Sprint 2.,7,2,sprint-2,Done
20,Story,API: Ausgaben lesen (eigene Ausgaben),Abgeschlossen in Sprint 3.,1,3,sprint-3,Done
21,Story,API: Paginierung und Sortierung für Ausgaben,Abgeschlossen in Sprint 3.,2,3,sprint-3,Done
22,Story,Spesenliste: Paginierung im UI,Abgeschlossen in Sprint 3.,2,3,sprint-3,Done
23,Story,API: Einzelne Ausgabe abrufen inkl. Berechtigungsprüfung,Abgeschlossen in Sprint 3.,1,2,sprint-3,Done
24,Task,Demo-Login-Screen mit Nutzerauswahl nach Rolle,Abgeschlossen in Sprint 3.,7,3,sprint-3,Done
25,Bug,Login: Nutzer nach Reload nicht mehr angemeldet,Abgeschlossen in Sprint 3.,7,1,sprint-3,Done
26,Story,API: Ausgabe anlegen (Entwurf oder direkt einreichen),Abgeschlossen in Sprint 4.,1,3,sprint-4,Done
27,Story,Währungsumrechnung in EUR (feste Kurse),Abgeschlossen in Sprint 4.,1,2,sprint-4,Done
28,Story,Erfassungsformular: Grundgerüst,Abgeschlossen in Sprint 4.,1,5,sprint-4,Done
29,Story,Erfassungsformular: eigene Kostenstelle vorauswählen,Abgeschlossen in Sprint 4.,1,1,sprint-4,Done
30,Task,e2e-Tests für die API aufsetzen,Abgeschlossen in Sprint 4.,7,3,sprint-4,Done
31,Bug,Spesenliste: Kategorie wird als ID angezeigt,Abgeschlossen in Sprint 4.,2,1,sprint-4,Done
32,Story,API: Entwurf bearbeiten (PATCH),Abgeschlossen in Sprint 5.,1,2,sprint-5,Done
33,Story,API: Entwurf einreichen,Abgeschlossen in Sprint 5.,1,2,sprint-5,Done
34,Story,Detailansicht einer Ausgabe,Abgeschlossen in Sprint 5.,1,3,sprint-5,Done
35,Task,MoneyPipe für Beträge im deutschen Format,Abgeschlossen in Sprint 5.,1,1,sprint-5,Done
36,Story,API: Entwurf löschen,Abgeschlossen in Sprint 5.,1,1,sprint-5,Done
